# TC id	specification clause it was derived from
#
# The one hand-authored column of the traceability matrix: which clause a
# case exists to prove. Everything else in that document - title, priority,
# type, feature file - is scanned from the features and the CSV, so it
# cannot drift. This cannot be scanned, because it is the judgement that
# made the case worth writing.
TC-01	§5 step 3 (exact match)
TC-02	§5 step 2–3 (case-fold, exact match); §5 sanity table `MUMBAI`
TC-03	§5 step 2–3 (case-fold, exact match)
TC-04	§5 step 2 (trim); §5 sanity table `  New   Delhi `
TC-05	§5 step 2 (collapse internal whitespace)
TC-06	§5 step 4 (fuzzy, d=1, name length > 6 ⇒ cap 2); §5 sanity table `Mumbi`
TC-07	§5 step 4 (token matching via `delhi`); §5 sanity table `now delhi`
TC-08	§5 step 4 (fuzzy, d=1); §5 sanity table `Bangalor`
TC-09	§5 step 4 (fuzzy, d=1, doubled letter)
TC-10	§5 step 4 (fuzzy, d=1, deletion)
TC-11	§5 step 4 (short name, length ≤ 6 ⇒ cap 1, JW ≥ 0.85); §5 sanity table `Pne`; boundary pair with TC-13
TC-12	§5 step 4 (token matching, least obvious rule per §5 note); §5 sanity table `Delh` (base list)
TC-13	§5 step 4/6 (d=2 > cap 1 ⇒ no match); §6 `UNMATCHED_ORIGIN_CITY`; boundary pair with TC-11
TC-14	§5 step 4/6 (d=3 > cap 2 ⇒ no match); §6 `UNMATCHED_ORIGIN_CITY`; boundary pair with TC-06
TC-15	§5 step 6 (no candidate); §6 `UNMATCHED_ORIGIN_CITY`; §5 sanity table `Warsaw`
TC-16	§5 step 6 (no candidate); §6 `UNMATCHED_ORIGIN_CITY`
TC-17	§5 step 1 (missing — empty); §6 `MISSING_ORIGIN_CITY`; §5 sanity table `""`
TC-18	§5 step 1 (missing — whitespace-only)
TC-19	§5 step 1 (missing — field absent)
TC-20	§5 step 1 (missing — JSON `null`)
TC-21	§5 (matching, applied independently to both fields); §4 enriched booking shape
TC-22	§2 whole-booking rule (either city fails ⇒ whole booking flagged); §6 `UNMATCHED_DESTINATION_CITY`
TC-23	§6 ("`reasons` is a list; both cities failing yields two entries, ordered origin then destination")
TC-24	§2 whole-booking rule ("TMS never receives a half-enriched booking")
TC-25	§4 enriched booking shape (`originalOrigin`, `originalDestination`); mutation table row 7
TC-26	§4 ("All raw fields unchanged except origin/destination")
TC-27	§4 (raw booking shape; robustness to unspecified fields is implied, not asserted verbatim in SPEC.md)
TC-28	§4 enriched booking shape (`originConfidence`, `destinationConfidence`); §5 step 4 (confidence definition)
TC-29	§5 step 5 (ambiguity, reference-file order); §6 `AMBIGUOUS_DESTINATION_CITY`; §5 sanity table `Delh` (list + `Delhi`)
TC-30	§2 ("appears on exactly one of booking.enriched / booking.flagged")
TC-31	§2 (flag routing to a separate topic)
TC-32	§2 (exclusivity); mutation table row 3
TC-33	§2 (exclusivity, other direction)
TC-34	§2 (exclusivity, exhaustively); mutation table row 3
